time value.garch value.continuous
1993-09-17 0.0368991689116863 0.0027739268827256
1993-09-20 0.0392139508988654 0.0178453603200097
1993-09-21 0.0381821307228254 0.00677968698537867
1993-09-22 0.0411207772274002 -0.0204785313435405
1993-09-23 0.0393504999043569 -0.00276243269590992
1993-09-24 0.0383744242261928 -0.00693965311054079
1993-09-27 0.0432080739972095 -0.0253892340048196
1993-09-28 0.0606839275102643 -0.0512932943875501
1993-09-29 0.0565237477784941 -0.0151518050206025
1993-09-30 0.0516241696539033 0
1993-10-01 0.0547652364868732 0.0300774552372784
1993-10-04 0.0539014043750344 0.0219789067187754
1993-10-05 0.0612026200000389 0.0397779714569184
1993-10-06 0.0580374603751213 0.0193109449130882
1993-10-07 0.0548981658505943 -0.0165293019512109
1993-10-08 0.0507026574972477 0.00692044284457349
1993-10-11 0.0484428805200526 0.0136988443581618
1993-10-12 0.0486482381293358 -0.0206192872027353
1993-10-13 0.0452897186512908 0
1993-10-14 0.0492114256874363 -0.0281708769666968
1993-10-15 0.0490733049145985 -0.0202027073175195
1993-10-18 0.0490186613375388 0.0202027073175195
1993-10-19 0.0470279938992891 -0.0129405112757341
1993-10-20 0.0454525281329631 0.0129405112757341
1993-10-21 0.0536210170755732 0.0364696797813915
1993-10-22 0.0493733696873793 -0.00137835997012115
1993-10-25 0.0519533980911528 -0.0279738520424058
1993-10-26 0.049016073211041 0.011283617602027
1993-10-27 0.0476466291598626 -0.0155480163884842
1993-10-28 0.0456880833821371 -0.011461443519007
1993-10-29 0.0429917073928305 0
1993-11-01 0.0408300734274806 0.00143988505798731
1993-11-02 0.0391486286523862 0.00287356519573212
1993-11-03 0.0511686584460108 0.0393862440941506
1993-11-04 0.0478166779341502 0.00687287928776215
1993-11-05 0.045211319786239 -0.00687287928776215
1993-11-08 0.0427102343813813 0
1993-11-09 0.0406875673717679 0
1993-11-10 0.0404056663315381 0.0123373737598413
1993-11-11 0.0393967899121238 0.00814115758369915
1993-11-12 0.0385805113482437 0.00807541400554612
1993-11-15 0.0378237641442893 -0.00672497490767476
1993-11-16 0.0375607007835331 0.00940235267839107
1993-11-17 0.0372133979110612 -0.00805373480709726
1993-11-18 0.0363115188720283 -0.00269905696916517
1993-11-19 0.0423479109701601 0.0266682470821618
1993-11-22 0.0571503881514023 -0.0471467784257023
1993-11-23 0.0523428332146199 -0.00553251756972539
1993-11-24 0.0562679073942319 0.0327450810946104
1993-11-25 0.0529983793379495 0.0146571577999737
1993-11-26 0.0488807711214812 0
1993-11-29 0.0458259876079276 -0.00530505222969335
1993-11-30 0.0431186714274176 0.00132890385005346
1993-12-01 0.0416576645688683 0.00925320548048347
1993-12-02 0.0408486445810124 -0.0105821093305369
1993-12-03 0.039677915285056 0.00794706169253168
1993-12-06 0.0382267577947603 0.00263504763800526
1993-12-07 0.038691876360849 0.0130720815673531
1993-12-08 0.0459768926560483 0.0306929463994061
1993-12-09 0.0434592027766863 0.00627748451913845
1993-12-10 0.0423887805417823 -0.0113280003052072
1993-12-13 0.0403414283828498 0
1993-12-14 0.0397581774114783 -0.0101782049157562
1993-12-15 0.042728217954784 -0.0219789067187754
1993-12-16 0.0438628174525573 0.0194180858571018
1993-12-17 0.0430199596466826 -0.0129034048359076
1993-12-20 0.0438245852890261 -0.0183491386681967
1993-12-21 0.0417122976842286 0.00527705710084359
1993-12-22 0.0402481020861316 -0.00660068403135217
1993-12-23 0.0386476497992931 0
1993-12-27 0.0377669735197925 0.00660068403135217
1993-12-28 0.0367469240386283 -0.00263504763800526
1993-12-29 0.0358984625894838 0.00263504763800526
1993-12-30 0.0417990294452253 0.0259754864032606
1994-01-03 0.0386699693611213 0
1994-01-04 0.0405873441238301 -0.0194180858571018
1994-01-05 0.0420985207556618 -0.0198026272961798
1994-01-06 0.0415719585463199 -0.0134230203321408
1994-01-07 0.0449876699123067 0.0266682470821618
1994-01-10 0.0426271521811794 0.00655740054615883
1994-01-11 0.0405650096858581 -0.00261780254207888
1994-01-12 0.0388322599117478 0
1994-01-13 0.037869785173156 -0.00657464564208521
1994-01-14 0.0373051142014149 0.00919244818416409
1994-01-17 0.0543669589385142 0.0509664435920278
1994-01-18 0.0610626966904506 0.0425596144187956
1994-01-19 0.0585384786710939 0.023530497410194
1994-01-20 0.0534318128610779 0
1994-01-21 0.0502941819026016 -0.0116960397631907
1994-01-24 0.0478075366174181 -0.0118344576470033
1994-01-25 0.0447538154748435 0
1994-01-26 0.0423837372598423 -0.00357782134788387
1994-01-27 0.0409532195429265 -0.00839836969883123
1994-01-28 0.0402262195439725 -0.0109025913382155
1994-01-31 0.0388227724628566 0.00607166406854986
1994-02-01 0.0436919202717521 0.028641575963384
1994-02-02 0.0450980188176847 0.023256862164267
1994-02-03 0.0425292544271456 0
1994-02-04 0.0405186177779017 0.00344234419097234
1994-02-07 0.0443044792774669 -0.0266992063552394
1994-02-08 0.0422363731371762 -0.00589972212718859
1994-02-09 0.0445376369522532 -0.0239532410224932
1994-02-10 0.0442757308577948 0.0180185055026785
1994-02-11 0.0460818144969656 -0.02409755157906
1994-02-14 0.0436872973287784 -0.00611622701743642
1994-02-15 0.041666827783707 0.00611622701743642
1994-02-16 0.0408134253804839 0.0121213605323449
1994-02-17 0.0393402003450275 0.00600602406021178
1994-02-18 0.0379303383440578 0
1994-02-21 0.0415721118309832 -0.0242436116099931
1994-02-22 0.0399687185358679 0.00611622701743642
1994-02-23 0.0426430835660795 0.02409755157906
1994-02-24 0.0448693032226642 -0.02409755157906
1994-02-25 0.0435507102971136 -0.0122700925918151
